Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2023-01-05,200,Five Points,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 107.10 INTERFERENCE 3,3.0,365,,,,,,,
2023-01-05,920,Five Points,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 104.13 CREATE DISTURB 3,3.0,290,,,,,,,
2023-01-05,1235,Five Points,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,335,,,,,,,
2023-01-05,530,Franklin,3 102.10 THREATS 103.10 BRIBERY/EXTORTION 105.13 GANGS 3,3.0,45,,,,,,,
2023-01-05,530,Franklin,3 102.10 THREATS 103.10 BRIBERY/EXTORTION 105.13 GANGS 3,3.0,30,,,,,,,
2023-01-05,530,Franklin,3 102.10 THREATS 103.10 BRIBERY/EXTORTION 105.13 GANGS 3,3.0,30,,,,,,,
2023-01-05,1925,Franklin,3 100.11 ASSAULT ON STAFF 100.11 ASSAULT ON STAFF 106.10 DIRECT ORDER 5,3.0,60,,,,,,,
2023-01-05,530,Franklin,3 102.10 THREATS 103.10 BRIBERY/EXTORTION 105.13 GANGS 3,3.0,30,,,,,,,
2023-01-05,530,Franklin,3 102.10 THREATS 103.10 BRIBERY/EXTORTION 105.13 GANGS 3,3.0,30,,,,,,,
2023-01-05,530,Franklin,3 102.10 THREATS 103.10 BRIBERY/EXTORTION 105.13 GANGS 3,3.0,30,,,,,,,
2023-01-05,530,Franklin,3 102.10 THREATS 103.10 BRIBERY/EXTORTION 105.13 GANGS 3,3.0,30,,,,,,,
2023-01-05,2228,Franklin,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,6.0,36,,,,,,,
2023-01-05,530,Franklin,3 102.10 THREATS 103.10 BRIBERY/EXTORTION 105.13 GANGS 3,3.0,30,,,,,,,
2023-01-05,530,Franklin,3 102.10 THREATS 103.10 BRIBERY/EXTORTION 105.13 GANGS 3,3.0,30,,,,,,,
2023-01-05,1640,Green Haven,3 113.10 WEAPON 2,1.0,253,,,,,,,
2023-01-05,900,Green Haven,3 101.22 STALKING 102.10 THREATS 180.11 FACIL CORRESPOND 4,4.0,60,,,,,,,
2023-01-05,1245,Green Haven,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 104.11 VIOLENT CONDUCT 3,3.0,184,,,,,,,
2023-01-05,850,Green Haven,3 100.11 ASSAULT ON STAFF 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 13,13.0,72,,,,,,,
2023-01-05,1855,Greene,3 100.13 FIGHTING 102.10 THREATS 104.11 VIOLENT CONDUCT 6,6.0,30,,,,,,,
2023-01-05,1003,Greene,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 105.13 GANGS 5,5.0,90,,,,,,,
2023-01-05,1003,Greene,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 105.13 GANGS 5,5.0,30,,,,,,,
2023-01-05,1610,Marcy,3 100.11 ASSAULT ON STAFF 100.13 FIGHTING 104.11 VIOLENT CONDUCT 5,5.0,59,,,,,,,
2023-01-05,1045,Otisville,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,65,,,,,,,
2023-01-05,820,Upstate,3 101.22 STALKING 107.10 INTERFERENCE 107.11 HARASSMENT 3,3.0,89,,,,,,,
2023-01-05,2010,Upstate,3 113.10 WEAPON 114.10 SMUGGLING 2,2.0,120,,,,,,,
2023-01-05,1345,Wallkill,3 117.10 EXPLOSIVES 113.23 CONTRABAND 113.14 UNAUTH MEDIC 4,3.0,104,,,,,,,
2023-01-05,1935,Wyoming,3 102.10 THREATS 104.11 VIOLENT CONDUCT 104.12 DEMONSTRATION 5,5.0,94,,,,,,,
2023-01-06,1333,Attica,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,29,,,,,,,
