Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4
2022-12-07,1930,Great Meadow,3 113.10 WEAPON 105.13 GANGS 113.23 CONTRABAND 5,4.0,90
2022-12-07,430,Greene,3 102.10 THREATS 106.10 DIRECT ORDER 107.11 HARASSMENT 3,3.0,90
2022-12-07,1056,Greene,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 3,3.0,80
2022-12-07,2005,Groveland,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 3,3.0,270
2022-12-07,1230,Groveland,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 104.13 CREATE DISTURB 3,3.0,28
2022-12-07,1620,Marcy,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,2.0,90
2022-12-07,425,Marcy,3 102.10 THREATS 106.10 DIRECT ORDER 104.13 CREATE DISTURB 4,3.0,2
2022-12-07,850,Mohawk,3 102.10 THREATS 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 3,3.0,14
2022-12-07,1300,Riverview,3 105.13 GANGS 1,1.0,30
2022-12-07,748,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,45
2022-12-07,1315,Upstate,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 5,4.0,32
2022-12-07,915,Upstate,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,90
2022-12-07,1910,Upstate,3 102.10 THREATS 114.10 SMUGGLING 107.10 INTERFERENCE 5,4.0,60
2022-12-07,1315,Upstate,3 114.10 SMUGGLING 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,60
2022-12-07,748,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,60
2022-12-07,1125,Upstate,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,90
2022-12-07,900,Washington,3 100.10 ASSAULT ON INCAR INDIV 103.10 BRIBERY/EXTORTION 104.11 VIOLENT CONDUCT 4,4.0,270
2022-12-08,715,Altona,3 105.13 GANGS 1,1.0,25
2022-12-08,1420,Auburn,3 113.10 WEAPON 1,1.0,72
2022-12-08,1845,Bare Hill,3 113.10 WEAPON 102.10 THREATS 114.10 SMUGGLING 5,4.0,190
2022-12-08,1300,Cayuga,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 6,5.0,30
