time,facility,tier,date,g1,g1_label,g2,g2_label,g3,g3_label,tot_infractions,tot_g_infractions,orig_shu_days
2125,Great Meadow,3,2022-09-07,113.10, WEAPON ,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,4,4.0,135
735,Greene,3,2022-09-07,101.20, LEWD CONDUCT ,107.10, INTERFERENCE ,,,2,2.0,60
1920,Greene,3,2022-09-07,100.11, ASSAULT ON STAFF ,106.10, DIRECT ORDER ,107.10, INTERFERENCE ,4,4.0,60
2010,Groveland,3,2022-09-07,100.11, ASSAULT ON STAFF ,104.11, VIOLENT CONDUCT ,107.10, INTERFERENCE ,4,4.0,30
920,Marcy,3,2022-09-07,114.10, SMUGGLING ,113.23, CONTRABAND ,116.10, LOSS/DAMAGE PROP ,4,4.0,120
1245,Marcy,3,2022-09-07,114.10, SMUGGLING ,,,,,1,1.0,90
1300,Marcy,3,2022-09-07,113.10, WEAPON ,113.23, CONTRABAND ,113.11, ALTERED ITEM ,3,3.0,120
1224,Mid-State,3,2022-09-07,100.11, ASSAULT ON STAFF ,113.10, WEAPON ,102.10, THREATS ,6,6.0,90
900,Mohawk,3,2022-09-07,102.10, THREATS ,115.10, SEARCH/FRISK ,106.10, DIRECT ORDER ,6,6.0,30
1635,Mohawk,3,2022-09-07,113.10, WEAPON ,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,6,6.0,90
1635,Mohawk,3,2022-09-07,113.10, WEAPON ,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,6,6.0,193
1840,Orleans,3,2022-09-07,114.10, SMUGGLING ,113.23, CONTRABAND ,113.15, UNAUTH EXCHANGE ,3,3.0,40
1210,Sullivan,3,2022-09-07,100.11, ASSAULT ON STAFF ,113.10, WEAPON ,113.10, WEAPON ,11,11.0,120
1957,Upstate,3,2022-09-07,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,3,3.0,30
1957,Upstate,3,2022-09-07,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,3,3.0,30
1715,Wende,3,2022-09-07,118.22, UNHYGIENIC ACT ,102.10, THREATS ,106.10, DIRECT ORDER ,6,6.0,77
800,Woodbourne,3,2022-09-07,113.10, WEAPON ,113.11, ALTERED ITEM ,,,2,2.0,45
515,Woodbourne,3,2022-09-07,113.10, WEAPON ,120.20, GAMBLING ,113.23, CONTRABAND ,5,5.0,60
1015,Wyoming,3,2022-09-07,101.22, STALKING ,107.11, HARASSMENT ,,,2,2.0,77
1905,Attica,3,2022-09-08,113.10, WEAPON ,,,,,1,1.0,180
720,Cayuga,3,2022-09-08,100.11, ASSAULT ON STAFF ,118.22, UNHYGIENIC ACT ,102.10, THREATS ,10,10.0,15
1905,Cayuga,3,2022-09-08,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,45
735,Clinton,3,2022-09-08,100.11, ASSAULT ON STAFF ,106.10, DIRECT ORDER ,,,4,2.0,45
2028,Elmira,3,2022-09-08,113.10, WEAPON ,100.13, FIGHTING ,106.10, DIRECT ORDER ,5,3.0,120
1610,Five Points,3,2022-09-08,113.10, WEAPON ,113.11, ALTERED ITEM ,,,2,2.0,365
1705,Franklin,3,2022-09-08,113.10, WEAPON ,115.10, SEARCH/FRISK ,,,2,2.0,49
1540,Great Meadow,3,2022-09-08,101.22, STALKING ,102.10, THREATS ,102.10, THREATS ,12,12.0,270
750,Greene,3,2022-09-08,113.23, CONTRABAND ,113.11, ALTERED ITEM ,,,3,2.0,15
1140,Greene,3,2022-09-08,104.11, VIOLENT CONDUCT ,104.13, CREATE DISTURB ,,,5,2.0,44
1140,Greene,3,2022-09-08,100.10, ASSAULT ON INCAR INDIV ,113.10, WEAPON ,104.11, VIOLENT CONDUCT ,5,5.0,41
1540,Greene,3,2022-09-08,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,,,3,2.0,90
